detection_id,video_id,frame_number,timestamp,ear_tag_detected,bounding_box_x,bounding_box_y,bounding_box_w,bounding_box_h,color_detected,horns_present,activity_label,health_score,location_zone,confidence_score,gait_status,isolation_flag,abnormal_posture_detected,social_group_id,feeding_event_flag
DET00076,VID001,375,2025-11-09 08:37:30,K017,0.13,0.41,0.31,0.24,Spotted,Left,Standing,68,Outdoor Paddock,0.804,Normal,False,False,10,False
DET00077,VID001,384,2025-11-09 08:38:00,C010,0.02,0.79,0.3,0.21,Black,Left,Walking,74,Rest Area,0.834,Normal,False,False,2,False
DET00078,VID001,386,2025-11-09 08:38:30,X015,0.03,0.63,0.14,0.26,Brown,None,Grazing,93,Outdoor Paddock,0.936,Normal,False,False,3,False
DET00079,VID001,394,2025-11-09 08:39:00,,0.07,0.38,0.19,0.32,Grey,Left,Standing,76,Feeding Area,0.833,Normal,False,False,9,True
DET00080,VID001,395,2025-11-09 08:39:30,E013,0.05,0.17,0.34,0.37,Reddish,Left,Grazing,73,Feeding Area,0.869,Normal,False,False,4,True
DET00081,VID001,402,2025-11-09 08:40:00,,0.73,0.04,0.09,0.42,Reddish,Left,Grazing,88,Outdoor Paddock,0.92,Normal,False,True,6,False
DET00082,VID001,406,2025-11-09 08:40:30,F012,0.39,0.59,0.18,0.26,White,None,Grazing,82,Feeding Area,0.845,Normal,False,False,3,False
DET00083,VID001,410,2025-11-09 08:41:00,J018,0.77,0.3,0.28,0.39,Reddish,None,Standing,64,Rest Area,0.797,Normal,False,False,3,False
DET00084,VID001,418,2025-11-09 08:41:30,C017,0.65,0.38,0.33,0.31,Mixed,Left,Lying,70,Rest Area,0.786,Normal,False,False,5,False
DET00085,VID001,424,2025-11-09 08:42:00,,0.43,0.26,0.2,0.14,Reddish,Left,Standing,87,Feeding Area,0.898,Normal,False,False,13,True
DET00086,VID001,425,2025-11-09 08:42:30,P009,0.49,0.16,0.24,0.29,White,Right,Standing,88,Rest Area,0.986,Normal,False,True,12,False
DET00087,VID001,433,2025-11-09 08:43:00,A016,0.44,0.13,0.18,0.21,Grey,Left,Walking,66,Shelter,0.905,Normal,False,False,5,False
DET00088,VID001,437,2025-11-09 08:43:30,H012,0.82,0.51,0.12,0.15,Mixed,None,Lying,59,Shelter,0.918,Normal,False,False,5,False
DET00089,VID001,444,2025-11-09 08:44:00,O010,0.28,0.11,0.27,0.43,Mixed,Both,Walking,78,Outdoor Paddock,0.837,Normal,False,False,13,False
DET00090,VID001,448,2025-11-09 08:44:30,H000,0.13,0.25,0.29,0.29,Spotted,Both,Walking,93,Outdoor Paddock,0.781,Normal,False,False,13,False
DET00091,VID001,454,2025-11-09 08:45:00,I009,0.61,0.04,0.18,0.36,Grey,Left,Walking,90,Medical Bay,0.806,Normal,False,False,15,False
DET00092,VID001,456,2025-11-09 08:45:30,W009,0.48,0.37,0.29,0.38,Spotted,Right,Resting,89,Rest Area,0.942,Normal,False,False,14,False
DET00093,VID001,462,2025-11-09 08:46:00,F005,0.6,0.44,0.11,0.15,Black,Left,Grazing,86,Feeding Area,0.949,Normal,False,False,15,True
DET00094,VID001,465,2025-11-09 08:46:30,U005,0.43,0.2,0.35,0.24,White,Left,Lying,76,Shelter,0.906,Normal,False,False,14,False
DET00095,VID001,473,2025-11-09 08:47:00,H002,0.65,0.4,0.25,0.42,White,Left,Standing,64,Outdoor Paddock,0.976,Normal,False,False,4,False
DET00096,VID001,477,2025-11-09 08:47:30,,0.2,0.54,0.25,0.14,Reddish,Right,Grazing,70,Feeding Area,0.922,Normal,True,False,10,True
DET00097,VID001,480,2025-11-09 08:48:00,S009,0.06,0.45,0.22,0.45,Spotted,Both,Grazing,85,Feeding Area,0.903,Unstable,False,True,13,False
DET00098,VID001,486,2025-11-09 08:48:30,G003,0.09,0.49,0.28,0.16,Brown,Left,Running,60,Shelter,0.862,Normal,False,False,2,False
DET00099,VID001,493,2025-11-09 08:49:00,,0.17,0.67,0.32,0.22,Brown,Right,Resting,80,Shelter,0.811,Normal,False,False,13,False
DET00100,VID001,495,2025-11-09 08:49:30,Q019,0.23,0.68,0.2,0.25,Grey,Right,Grazing,75,Outdoor Paddock,0.916,Normal,False,False,2,False
DET00101,VID001,503,2025-11-09 08:50:00,,0.51,0.7,0.23,0.23,White,Left,Walking,74,Medical Bay,0.895,Normal,False,False,1,False
DET00102,VID001,507,2025-11-09 08:50:30,W005,0.23,0.83,0.34,0.14,Mixed,Right,Grazing,95,Feeding Area,0.979,Normal,False,False,1,False
DET00103,VID001,511,2025-11-09 08:51:00,S015,0.31,0.81,0.09,0.17,Grey,Left,Grazing,94,Feeding Area,0.888,Normal,False,False,4,True
DET00104,VID001,515,2025-11-09 08:51:30,Z011,0.44,0.78,0.11,0.38,Mixed,Right,Standing,79,Rest Area,0.917,Unstable,False,True,2,False
DET00105,VID001,523,2025-11-09 08:52:00,K010,0.38,0.07,0.26,0.4,Brown,Left,Walking,82,Outdoor Paddock,0.82,Normal,False,False,12,False
DET00106,VID001,526,2025-11-09 08:52:30,A000,0.19,0.84,0.29,0.2,Grey,Both,Grazing,88,Outdoor Paddock,0.862,Unstable,False,False,2,False
DET00107,VID001,532,2025-11-09 08:53:00,K014,0.61,0.45,0.29,0.39,White,None,Resting,83,Rest Area,0.858,Normal,False,False,13,False
DET00108,VID001,539,2025-11-09 08:53:30,J006,0.65,0.11,0.22,0.41,Reddish,Both,Grazing,79,Feeding Area,0.789,Limping,False,False,9,True
DET00109,VID001,540,2025-11-09 08:54:00,G010,0.81,0.23,0.25,0.32,White,None,Grazing,88,Feeding Area,0.791,Normal,False,False,15,True
DET00110,VID001,545,2025-11-09 08:54:30,,0.81,0.66,0.15,0.19,Spotted,Right,Walking,65,Medical Bay,0.963,Normal,False,False,4,False
DET00111,VID001,553,2025-11-09 08:55:00,D014,0.59,0.13,0.19,0.27,Brown,None,Grazing,92,Outdoor Paddock,0.926,Limping,False,True,6,False
DET00112,VID001,559,2025-11-09 08:55:30,Q006,0.21,0.1,0.2,0.17,White,Left,Lying,77,Outdoor Paddock,0.85,Unstable,False,False,15,False
DET00113,VID001,564,2025-11-09 08:56:00,J014,0.65,0.42,0.22,0.28,Brown,Right,Standing,90,Medical Bay,0.871,Unstable,False,True,1,False
DET00114,VID001,567,2025-11-09 08:56:30,T003,0.72,0.57,0.16,0.12,White,Right,Standing,68,Shelter,0.838,Normal,True,False,9,False
DET00115,VID001,571,2025-11-09 08:57:00,O015,0.06,0.43,0.29,0.21,Spotted,Both,Standing,63,Medical Bay,0.84,Unstable,False,True,3,False
DET00116,VID001,576,2025-11-09 08:57:30,U011,0.43,0.04,0.12,0.23,Grey,Right,Standing,88,Outdoor Paddock,0.784,Limping,False,True,10,False
DET00117,VID001,582,2025-11-09 08:58:00,Z019,0.7,0.45,0.27,0.22,Reddish,Both,Grazing,91,Feeding Area,0.985,Normal,False,False,12,True
DET00118,VID001,589,2025-11-09 08:58:30,X010,0.56,0.83,0.24,0.2,White,Right,Standing,80,Shelter,0.899,Normal,False,False,1,False
DET00119,VID001,594,2025-11-09 08:59:00,F012,0.16,0.37,0.19,0.26,Black,Right,Grazing,89,Outdoor Paddock,0.959,Normal,False,False,4,False
DET00120,VID001,599,2025-11-09 08:59:30,H018,0.41,0.32,0.34,0.27,Spotted,Left,Grazing,91,Outdoor Paddock,0.896,Normal,False,False,4,False
DET00121,VID001,602,2025-11-09 09:00:00,K001,0.18,0.6,0.17,0.24,Reddish,Left,Grazing,88,Outdoor Paddock,0.965,Normal,False,False,3,False
DET00122,VID001,607,2025-11-09 09:00:30,,0.81,0.07,0.33,0.34,Mixed,Right,Standing,86,Outdoor Paddock,0.815,Normal,False,False,12,False
DET00123,VID001,614,2025-11-09 09:01:00,C011,0.57,0.45,0.25,0.14,Grey,Left,Walking,68,Shelter,0.935,Normal,False,False,7,False
DET00124,VID001,618,2025-11-09 09:01:30,K004,0.64,0.24,0.16,0.14,Reddish,Both,Walking,72,Outdoor Paddock,0.927,Limping,True,False,7,False
DET00125,VID001,621,2025-11-09 09:02:00,B017,0.85,0.34,0.21,0.43,Reddish,Left,Lying,50,Rest Area,0.886,Limping,False,True,11,False
DET00126,VID001,629,2025-11-09 09:02:30,T010,0.8,0.72,0.21,0.18,White,Left,Standing,74,Shelter,0.812,Normal,False,False,10,False
DET00127,VID001,631,2025-11-09 09:03:00,R016,0.54,0.34,0.2,0.23,Grey,Both,Standing,64,Medical Bay,0.828,Normal,False,False,13,False
DET00128,VID001,637,2025-11-09 09:03:30,P009,0.5,0.49,0.15,0.24,Black,Both,Walking,79,Rest Area,0.788,Normal,False,False,13,False
DET00129,VID001,642,2025-11-09 09:04:00,G014,0.78,0.25,0.25,0.19,Black,Right,Standing,83,Outdoor Paddock,0.84,Normal,False,False,13,False
DET00130,VID001,646,2025-11-09 09:04:30,I016,0.64,0.74,0.1,0.27,Mixed,Left,Standing,78,Feeding Area,0.765,Normal,False,False,3,False
DET00131,VID001,654,2025-11-09 09:05:00,I016,0.17,0.5,0.1,0.29,Reddish,Both,Grazing,86,Outdoor Paddock,0.86,Normal,False,False,12,False
DET00132,VID001,655,2025-11-09 09:05:30,P016,0.0,0.19,0.1,0.26,Mixed,Both,Grazing,71,Feeding Area,0.987,Normal,False,False,3,True
DET00133,VID001,663,2025-11-09 09:06:00,T012,0.33,0.74,0.32,0.24,Mixed,None,Walking,76,Feeding Area,0.793,Normal,False,False,4,False
DET00134,VID001,665,2025-11-09 09:06:30,P005,0.39,0.61,0.19,0.25,Black,None,Grazing,74,Outdoor Paddock,0.795,Limping,False,True,11,False
DET00135,VID001,673,2025-11-09 09:07:00,V018,0.75,0.01,0.14,0.15,White,Right,Grazing,92,Feeding Area,0.809,Normal,False,False,13,True
DET00136,VID001,675,2025-11-09 09:07:30,,0.84,0.2,0.33,0.31,Spotted,Left,Standing,88,Water Zone,0.987,Normal,False,False,9,False
DET00137,VID001,684,2025-11-09 09:08:00,U013,0.15,0.58,0.23,0.14,Brown,Right,Walking,75,Shelter,0.85,Normal,False,False,8,False
DET00138,VID001,686,2025-11-09 09:08:30,P007,0.73,0.12,0.21,0.14,Grey,Right,Grazing,74,Outdoor Paddock,0.808,Normal,False,False,14,False
DET00139,VID001,692,2025-11-09 09:09:00,,0.62,0.16,0.15,0.34,Spotted,Both,Lying,56,Outdoor Paddock,0.924,Normal,False,False,6,False
DET00140,VID001,697,2025-11-09 09:09:30,A015,0.18,0.16,0.28,0.37,Reddish,Right,Lying,72,Outdoor Paddock,0.919,Normal,False,False,5,False
DET00141,VID001,703,2025-11-09 09:10:00,H004,0.31,0.22,0.22,0.28,White,Right,Walking,75,Water Zone,0.839,Normal,False,False,3,False
DET00142,VID001,705,2025-11-09 09:10:30,V017,0.5,0.61,0.16,0.18,Black,Right,Grazing,77,Outdoor Paddock,0.882,Limping,False,False,8,False
DET00143,VID001,713,2025-11-09 09:11:00,L010,0.68,0.14,0.27,0.28,Spotted,Both,Grazing,96,Feeding Area,0.977,Normal,False,False,14,True
DET00144,VID001,715,2025-11-09 09:11:30,A009,0.19,0.39,0.1,0.33,Spotted,Right,Walking,65,Feeding Area,0.878,Normal,True,False,9,False
DET00145,VID001,722,2025-11-09 09:12:00,,0.69,0.57,0.3,0.42,White,Both,Grazing,77,Feeding Area,0.899,Normal,False,False,2,True
DET00146,VID001,728,2025-11-09 09:12:30,M009,0.84,0.19,0.26,0.4,Mixed,Both,Standing,72,Medical Bay,0.883,Normal,True,False,8,False
DET00147,VID001,733,2025-11-09 09:13:00,Q019,0.48,0.73,0.11,0.29,White,None,Standing,87,Shelter,0.963,Normal,True,False,15,False
DET00148,VID001,737,2025-11-09 09:13:30,C017,0.56,0.15,0.31,0.13,Black,None,Walking,87,Medical Bay,0.973,Normal,False,False,14,False
DET00149,VID001,743,2025-11-09 09:14:00,B013,0.28,0.64,0.12,0.45,Mixed,Both,Grazing,81,Feeding Area,0.773,Normal,False,False,10,True
DET00150,VID001,748,2025-11-09 09:14:30,Q014,0.03,0.23,0.35,0.28,Brown,Right,Grazing,91,Outdoor Paddock,0.771,Normal,False,False,2,False
DET00151,VID001,752,2025-11-09 09:15:00,K008,0.67,0.13,0.19,0.24,White,Both,Lying,64,Rest Area,0.933,Normal,False,False,9,False
DET00152,VID001,759,2025-11-09 09:15:30,F005,0.02,0.3,0.11,0.32,Brown,Right,Standing,73,Medical Bay,0.937,Normal,False,False,4,False
DET00153,VID001,764,2025-11-09 09:16:00,J001,0.32,0.12,0.16,0.28,White,None,Grazing,83,Outdoor Paddock,0.866,Normal,False,False,11,False
DET00154,VID001,768,2025-11-09 09:16:30,K000,0.39,0.12,0.08,0.25,Reddish,Right,Running,65,Medical Bay,0.83,Normal,False,False,3,False
DET00155,VID001,772,2025-11-09 09:17:00,W010,0.59,0.41,0.13,0.25,Brown,Left,Walking,85,Medical Bay,0.982,Normal,False,False,13,False
DET00156,VID001,778,2025-11-09 09:17:30,V014,0.48,0.5,0.23,0.34,Spotted,Both,Resting,77,Rest Area,0.855,Normal,False,False,13,False
DET00157,VID001,783,2025-11-09 09:18:00,H002,0.54,0.21,0.26,0.36,Reddish,Right,Standing,79,Medical Bay,0.89,Normal,False,False,7,False
DET00158,VID001,789,2025-11-09 09:18:30,,0.82,0.6,0.3,0.32,White,Both,Walking,86,Shelter,0.835,Normal,True,False,11,False
DET00159,VID001,793,2025-11-09 09:19:00,Q019,0.82,0.37,0.08,0.21,Spotted,None,Grazing,82,Outdoor Paddock,0.935,Normal,False,False,1,False
DET00160,VID001,798,2025-11-09 09:19:30,,0.35,0.82,0.11,0.43,Black,Left,Grazing,84,Feeding Area,0.875,Normal,False,False,8,True
DET00161,VID001,802,2025-11-09 09:20:00,,0.6,0.02,0.17,0.16,Reddish,None,Lying,73,Water Zone,0.874,Normal,False,False,8,False
DET00162,VID001,806,2025-11-09 09:20:30,G004,0.16,0.54,0.2,0.13,Spotted,None,Grazing,83,Outdoor Paddock,0.751,Normal,False,False,13,False
DET00163,VID001,810,2025-11-09 09:21:00,O018,0.74,0.16,0.17,0.27,Brown,Right,Grazing,90,Outdoor Paddock,0.893,Normal,False,False,14,False
DET00164,VID001,818,2025-11-09 09:21:30,P013,0.57,0.68,0.33,0.31,Mixed,None,Grazing,77,Outdoor Paddock,0.778,Normal,False,False,10,False
DET00165,VID001,821,2025-11-09 09:22:00,V013,0.16,0.54,0.27,0.33,Black,None,Grazing,74,Feeding Area,0.825,Normal,False,False,1,True
DET00166,VID001,826,2025-11-09 09:22:30,X006,0.48,0.56,0.19,0.28,Mixed,Right,Grazing,72,Feeding Area,0.941,Normal,True,False,5,False
DET00167,VID001,833,2025-11-09 09:23:00,N011,0.65,0.47,0.11,0.16,Reddish,Left,Grazing,94,Feeding Area,0.932,Normal,False,False,12,True
DET00168,VID001,836,2025-11-09 09:23:30,B013,0.38,0.3,0.3,0.26,White,None,Standing,83,Outdoor Paddock,0.915,Limping,False,False,10,False
DET00169,VID001,841,2025-11-09 09:24:00,P013,0.18,0.05,0.17,0.21,Spotted,None,Grazing,92,Outdoor Paddock,0.819,Normal,False,False,11,False
DET00170,VID001,845,2025-11-09 09:24:30,,0.64,0.35,0.1,0.21,Mixed,None,Walking,69,Water Zone,0.785,Normal,False,False,7,False
DET00171,VID001,853,2025-11-09 09:25:00,,0.54,0.53,0.18,0.14,Reddish,Both,Grazing,93,Outdoor Paddock,0.917,Limping,False,False,10,False
DET00172,VID001,855,2025-11-09 09:25:30,R007,0.62,0.62,0.2,0.34,Brown,Both,Walking,77,Water Zone,0.982,Normal,False,False,5,False
DET00173,VID001,862,2025-11-09 09:26:00,G013,0.48,0.41,0.17,0.35,White,Both,Standing,85,Medical Bay,0.754,Limping,False,False,7,False
